11.2061 {:process 1, :type :ok, :f :read, :value 06}
11.2065 {:process 1, :type :invoke, :f :write, :value 40}
11.8357 {:process 1, :type :ok, :f :write, :value 40}
11.837 {:process 1, :type :invoke, :f :write, :value 38}
12.2169 {:process 1, :type :ok, :f :write, :value 38}
12.2179 {:process 1, :type :invoke, :f :write, :value 00}
12.5541 {:process 1, :type :ok, :f :write, :value 00}
12.5549 {:process 1, :type :invoke, :f :write, :value 98}
13.1033 {:process 1, :type :ok, :f :write, :value 98}
13.1043 {:process 1, :type :invoke, :f :write, :value 02}
13.4682 {:process 1, :type :ok, :f :write, :value 02}
13.4692 {:process 1, :type :invoke, :f :write, :value 99}
13.8468 {:process 1, :type :ok, :f :write, :value 99}
13.8472 {:process 1, :type :invoke, :f :write, :value 87}
14.1985 {:process 1, :type :ok, :f :write, :value 87}
14.1992 {:process 1, :type :invoke, :f :write, :value 29}
14.5765 {:process 1, :type :ok, :f :write, :value 29}
14.5779 {:process 1, :type :invoke, :f :write, :value 05}
14.9866 {:process 1, :type :ok, :f :write, :value 05}
14.987 {:process 1, :type :invoke, :f :write, :value 83}
15.3364 {:process 1, :type :ok, :f :write, :value 83}
15.3368 {:process 1, :type :invoke, :f :write, :value 19}
15.6655 {:process 1, :type :ok, :f :write, :value 19}
15.666 {:process 1, :type :invoke, :f :write, :value 36}
15.9876 {:process 1, :type :ok, :f :write, :value 36}
15.9881 {:process 1, :type :invoke, :f :write, :value 43}
16.3373 {:process 1, :type :ok, :f :write, :value 43}
16.3374 {:process 1, :type :invoke, :f :write, :value 69}
16.6818 {:process 1, :type :ok, :f :write, :value 69}
16.6819 {:process 1, :type :invoke, :f :write, :value 88}
17.0297 {:process 1, :type :ok, :f :write, :value 88}
17.0301 {:process 1, :type :invoke, :f :write, :value 38}
17.3846 {:process 1, :type :ok, :f :write, :value 38}
17.3851 {:process 1, :type :invoke, :f :write, :value 68}
17.7474 {:process 1, :type :ok, :f :write, :value 68}
17.7484 {:process 1, :type :invoke, :f :read, :value nil}
18.0969 {:process 1, :type :ok, :f :read, :value 06}
18.0973 {:process 1, :type :invoke, :f :write, :value 52}
18.4562 {:process 1, :type :ok, :f :write, :value 52}
18.4569 {:process 1, :type :invoke, :f :read, :value nil}
19.0295 {:process 1, :type :ok, :f :read, :value 58}
19.03 {:process 1, :type :invoke, :f :read, :value nil}
20.6561 {:process 1, :type :ok, :f :read, :value 10}
20.6594 {:process 1, :type :invoke, :f :write, :value 92}
21.9957 {:process 1, :type :ok, :f :write, :value 92}
21.9968 {:process 1, :type :invoke, :f :write, :value 15}
22.4304 {:process 1, :type :ok, :f :write, :value 15}
22.4308 {:process 1, :type :invoke, :f :write, :value 94}
22.763 {:process 1, :type :ok, :f :write, :value 94}
22.7643 {:process 1, :type :invoke, :f :write, :value 19}
23.1245 {:process 1, :type :ok, :f :write, :value 19}
23.1255 {:process 1, :type :invoke, :f :write, :value 90}
23.4568 {:process 1, :type :ok, :f :write, :value 90}
23.4572 {:process 1, :type :invoke, :f :write, :value 20}
23.8076 {:process 1, :type :ok, :f :write, :value 20}
23.8081 {:process 1, :type :invoke, :f :write, :value 67}
24.1451 {:process 1, :type :ok, :f :write, :value 67}
24.1462 {:process 1, :type :invoke, :f :write, :value 85}
24.4784 {:process 1, :type :ok, :f :write, :value 85}
24.4788 {:process 1, :type :invoke, :f :write, :value 64}
24.818 {:process 1, :type :ok, :f :write, :value 64}
24.8185 {:process 1, :type :invoke, :f :write, :value 01}
25.2143 {:process 1, :type :ok, :f :write, :value 01}
25.2152 {:process 1, :type :invoke, :f :write, :value 26}
25.5673 {:process 1, :type :ok, :f :write, :value 26}
25.5684 {:process 1, :type :invoke, :f :write, :value 90}
26.1506 {:process 1, :type :ok, :f :write, :value 90}
26.1519 {:process 1, :type :invoke, :f :write, :value 78}
26.4878 {:process 1, :type :ok, :f :write, :value 78}
26.4881 {:process 1, :type :invoke, :f :write, :value 09}
26.7133 {:process 1, :type :ok, :f :write, :value 09}
26.7187 {:process 1, :type :invoke, :f :write, :value 38}
27.0563 {:process 1, :type :ok, :f :write, :value 38}
27.0573 {:process 1, :type :invoke, :f :write, :value 41}
27.4099 {:process 1, :type :ok, :f :write, :value 41}
27.4111 {:process 1, :type :invoke, :f :write, :value 43}
27.7506 {:process 1, :type :ok, :f :write, :value 43}
27.752 {:process 1, :type :invoke, :f :write, :value 99}
28.0876 {:process 1, :type :ok, :f :write, :value 99}
28.0886 {:process 1, :type :invoke, :f :write, :value 20}
28.4486 {:process 1, :type :ok, :f :write, :value 20}
28.449 {:process 1, :type :invoke, :f :write, :value 17}
28.8092 {:process 1, :type :ok, :f :write, :value 17}
28.8097 {:process 1, :type :invoke, :f :read, :value nil}
29.0451 {:process 1, :type :ok, :f :read, :value 11}
29.0482 {:process 1, :type :invoke, :f :write, :value 96}
29.3879 {:process 1, :type :ok, :f :write, :value 96}
29.3883 {:process 1, :type :invoke, :f :write, :value 29}
29.7729 {:process 1, :type :ok, :f :write, :value 29}
29.7732 {:process 1, :type :invoke, :f :write, :value 97}
30.1089 {:process 1, :type :ok, :f :write, :value 97}
30.1092 {:process 1, :type :invoke, :f :read, :value nil}
30.4469 {:process 1, :type :ok, :f :read, :value 91}
30.4473 {:process 1, :type :invoke, :f :write, :value 41}
30.794 {:process 1, :type :ok, :f :write, :value 41}
30.7951 {:process 1, :type :invoke, :f :write, :value 52}
31.1269 {:process 1, :type :ok, :f :write, :value 52}
31.129 {:process 1, :type :invoke, :f :write, :value 46}
31.4667 {:process 1, :type :ok, :f :write, :value 46}
31.4678 {:process 1, :type :invoke, :f :write, :value 97}
31.7265 {:process 1, :type :ok, :f :write, :value 97}
31.7277 {:process 1, :type :invoke, :f :write, :value 76}
0.000377302 {:process 1, :type :invoke, :f :write, :value 35}
1.6202 {:process 1, :type :ok, :f :write, :value 35}
1.62067 {:process 1, :type :invoke, :f :read, :value nil}
0.000425189 {:process 1, :type :invoke, :f :write, :value 35}
0.254621 {:process 1, :type :ok, :f :write, :value 35}
0.254789 {:process 1, :type :invoke, :f :read, :value nil}
0.61184 {:process 1, :type :ok, :f :read, :value 29}
0.61274 {:process 1, :type :invoke, :f :write, :value 26}
0.968615 {:process 1, :type :ok, :f :write, :value 26}
0.969409 {:process 1, :type :invoke, :f :write, :value 37}
1.31352 {:process 1, :type :ok, :f :write, :value 37}
1.31391 {:process 1, :type :invoke, :f :write, :value 36}
1.93796 {:process 1, :type :ok, :f :write, :value 36}
1.93841 {:process 1, :type :invoke, :f :write, :value 78}
2.6051 {:process 1, :type :ok, :f :write, :value 78}
2.60565 {:process 1, :type :invoke, :f :read, :value nil}
2.99089 {:process 1, :type :ok, :f :read, :value 29}
2.99126 {:process 1, :type :invoke, :f :write, :value 15}
3.21067 {:process 1, :type :ok, :f :write, :value 15}
3.21169 {:process 1, :type :invoke, :f :write, :value 37}
3.55522 {:process 1, :type :ok, :f :write, :value 37}
3.55604 {:process 1, :type :invoke, :f :write, :value 43}
3.92422 {:process 1, :type :ok, :f :write, :value 43}
3.92531 {:process 1, :type :invoke, :f :write, :value 84}
4.261 {:process 1, :type :ok, :f :write, :value 84}
4.26148 {:process 1, :type :invoke, :f :write, :value 89}
4.62094 {:process 1, :type :ok, :f :write, :value 89}
4.62213 {:process 1, :type :invoke, :f :read, :value nil}
4.96149 {:process 1, :type :ok, :f :read, :value 66}
4.96288 {:process 1, :type :invoke, :f :write, :value 22}
5.30827 {:process 1, :type :ok, :f :write, :value 22}
5.30929 {:process 1, :type :invoke, :f :write, :value 49}
5.66508 {:process 1, :type :ok, :f :write, :value 49}
5.66657 {:process 1, :type :invoke, :f :write, :value 11}
6.10681 {:process 1, :type :ok, :f :write, :value 11}
6.10724 {:process 1, :type :invoke, :f :write, :value 65}
6.4607 {:process 1, :type :ok, :f :write, :value 65}
6.46098 {:process 1, :type :invoke, :f :write, :value 93}
6.82124 {:process 1, :type :ok, :f :write, :value 93}
6.82139 {:process 1, :type :invoke, :f :write, :value 63}
7.08667 {:process 1, :type :ok, :f :write, :value 63}
7.08682 {:process 1, :type :invoke, :f :write, :value 84}
7.45253 {:process 1, :type :ok, :f :write, :value 84}
